Car_Type,Model_Year,Mileage_thousands_km,Engine_cc,Price_million_IRR
Tiba,1399,109,1500,30.1
Samand,1385,18,1800,50.0
Pride,1399,3,1500,34.7
Samand,1394,148,1800,64.8
Dena,1399,35,1800,145.0
Pride,1398,158,1500,44.3
Dena,1397,80,1800,99.8
Tiba,1400,207,1500,47.6
Pride,1392,11,1500,31.4
Tiba,1402,32,1500,27.1
Tiba,1390,201,1500,38.6
Peugeot,1394,139,2000,72.2
Dena,1391,171,1800,89.9
Peugeot,1399,245,2000,105.3
Tiba,1399,101,1500,42.9
Peugeot,1395,58,2000,68.6
Samand,1402,84,1800,50.5
Peugeot,1397,17,2000,82.4
Samand,1398,116,1800,49.3
Tiba,1387,250,1500,52.1
Peugeot,1395,88,2000,62.4
Samand,1392,207,1800,33.7
Pride,1393,104,1500,23.9
Pride,1396,206,1500,40.8
Dena,1398,70,1800,146.1
Peugeot,1395,15,2000,41.8
Peugeot,1389,193,2000,40.4
Dena,1398,5,1800,99.5
Dena,1389,105,1800,93.3
Tiba,1392,161,1500,39.6
Pride,1392,157,1500,38.3
Dena,1403,124,1800,98.8
Pride,1393,150,1500,33.9
Peugeot,1392,228,2000,81.7
Samand,1390,126,1800,52.3
Pride,1394,44,1500,44.8
Tiba,1387,76,1500,44.4
Tiba,1398,225,1500,37.1
Tiba,1402,131,1500,26.1
Dena,1397,214,1800,143.4
Pride,1393,104,1500,30.2
Samand,1399,101,1800,45.9
Tiba,1388,243,1500,49.8
Dena,1388,234,1800,154.2
Pride,1400,49,1500,41.6
Pride,1389,191,1500,20.1
Peugeot,1397,233,2000,59.2
Tiba,1395,45,1500,41.8
Dena,1397,130,1800,151.8
Tiba,1386,226,1500,31.6
Samand,1398,122,1800,59.4
Samand,1401,8,1800,54.7
Dena,1393,147,1800,97.1
Samand,1394,221,1800,40.4
Tiba,1403,168,1500,38.4
Dena,1401,45,1800,108.7
Tiba,1392,242,1500,51.4
Tiba,1391,219,1500,42.6
Pride,1393,145,1500,25.2
Peugeot,1385,213,2000,85.4
Pride,1403,199,1500,47.5
Samand,1396,143,1800,35.4
Dena,1395,47,1800,108.1
Peugeot,1395,175,2000,84.6
Pride,1398,31,1500,27.1
Samand,1395,21,1800,53.8
Peugeot,1392,85,2000,84.1
Pride,1401,131,1500,25.6
Samand,1394,215,1800,34.3
Samand,1394,71,1800,42.0
Samand,1392,49,1800,57.0
Peugeot,1389,19,2000,45.8
Peugeot,1389,160,2000,72.0
Pride,1390,4,1500,20.4
Dena,1400,197,1800,95.4
Pride,1387,169,1500,39.3
Tiba,1401,216,1500,47.8
Pride,1391,2,1500,37.7
Pride,1401,203,1500,42.5
Dena,1400,205,1800,94.2
Pride,1386,118,1500,33.9
Tiba,1389,165,1500,52.7
Peugeot,1402,105,2000,75.1
Pride,1400,87,1500,47.4
Tiba,1397,19,1500,32.0
Dena,1399,201,1800,146.3
Pride,1392,62,1500,44.6
Pride,1397,151,1500,34.1
Dena,1390,247,1800,108.0
Samand,1397,85,1800,63.2
Samand,1385,157,1800,59.6
Pride,1391,28,1500,33.1
Dena,1395,81,1800,128.3
Pride,1390,23,1500,35.8
Peugeot,1386,150,2000,82.6
Dena,1402,184,1800,121.8
Peugeot,1402,152,2000,49.9
Dena,1386,156,1800,97.6
Peugeot,1394,201,2000,99.6
Peugeot,1402,18,2000,90.4
Pride,1397,204,1500,31.8
Pride,1395,69,1500,23.7
Tiba,1396,215,1500,37.4
Tiba,1387,121,1500,51.1
Dena,1390,205,1800,100.3
Dena,1394,245,1800,128.5
Peugeot,1396,159,2000,54.0
Peugeot,1391,198,2000,55.0
Samand,1395,167,1800,41.8
Pride,1396,182,1500,25.8
Pride,1402,26,1500,49.1
Tiba,1387,31,1500,25.5
Pride,1394,187,1500,22.9
Pride,1400,222,1500,20.1
Pride,1386,52,1500,37.1
Samand,1393,80,1800,38.5
Dena,1403,106,1800,149.6
Tiba,1399,195,1500,35.2
Dena,1403,162,1800,130.3
Pride,1395,248,1500,48.2
Pride,1403,159,1500,34.0
Peugeot,1400,197,2000,85.0
Pride,1397,93,1500,29.8
Dena,1397,204,1800,143.8
Pride,1398,26,1500,23.5
Dena,1391,26,1800,100.3
Dena,1397,51,1800,107.5
Dena,1391,192,1800,101.2
Peugeot,1401,130,2000,108.7
Peugeot,1397,201,2000,80.8
Samand,1387,187,1800,42.6
Peugeot,1388,240,2000,107.9
Pride,1401,101,1500,29.6
Peugeot,1401,211,2000,65.0
Tiba,1385,199,1500,53.8
Samand,1389,65,1800,64.2
Peugeot,1401,92,2000,68.2
Dena,1401,50,1800,88.7
Dena,1386,206,1800,94.0
Samand,1388,94,1800,43.3
Tiba,1401,90,1500,28.2
Dena,1386,15,1800,99.7
Samand,1387,192,1800,49.0
Dena,1385,204,1800,101.1
Tiba,1400,194,1500,53.3
Dena,1401,184,1800,149.2
Samand,1395,128,1800,31.6
Dena,1397,249,1800,131.9
Dena,1394,22,1800,92.0
Samand,1389,98,1800,63.9
Dena,1394,181,1800,155.0
Samand,1397,144,1800,46.3
Dena,1395,120,1800,129.2
Samand,1393,50,1800,31.9
Samand,1390,110,1800,35.5
Pride,1387,156,1500,42.4
Tiba,1386,239,1500,45.8
Samand,1400,229,1800,55.6
Tiba,1391,167,1500,25.9
Dena,1400,55,1800,131.8
Pride,1388,19,1500,39.0
Tiba,1402,168,1500,26.7
Dena,1397,40,1800,102.5
Peugeot,1392,207,2000,94.6
Peugeot,1399,174,2000,46.1
Dena,1387,74,1800,156.3
Tiba,1399,230,1500,46.1
Pride,1386,157,1500,41.0
Dena,1390,19,1800,108.4
Peugeot,1386,246,2000,75.3
Samand,1399,34,1800,47.5
Dena,1402,107,1800,109.0
Pride,1390,242,1500,30.3
Tiba,1401,31,1500,34.1
Tiba,1391,48,1500,49.1
Samand,1389,71,1800,64.5
Tiba,1392,38,1500,26.1
Pride,1387,151,1500,45.9
Tiba,1402,193,1500,35.8
Dena,1401,162,1800,101.7
Dena,1399,87,1800,115.6
Peugeot,1395,66,2000,52.1
Samand,1388,183,1800,33.1
Pride,1399,58,1500,47.9
Dena,1402,51,1800,98.6
Tiba,1399,13,1500,26.9
Peugeot,1399,30,2000,76.5
Samand,1402,206,1800,63.0
Peugeot,1401,36,2000,89.3
Tiba,1397,84,1500,27.9
Samand,1401,62,1800,40.4
Dena,1385,189,1800,106.8
Samand,1399,225,1800,35.5
Dena,1400,91,1800,81.7
Peugeot,1390,179,2000,65.5
Dena,1397,153,1800,140.0
Peugeot,1388,22,2000,55.1
Pride,1386,59,1500,26.3
Peugeot,1392,41,2000,100.9
Tiba,1399,118,1500,41.8
Samand,1387,67,1800,40.7
Samand,1391,133,1800,60.8
Tiba,1393,128,1500,53.5
Dena,1389,243,1800,82.1
Pride,1395,122,1500,30.1
Samand,1387,84,1800,61.1
Samand,1395,98,1800,46.3
Pride,1396,3,1500,22.6
Dena,1403,135,1800,137.0
Tiba,1391,145,1500,43.1
Tiba,1398,37,1500,31.7
Samand,1401,239,1800,52.0
Peugeot,1387,152,2000,61.7
Pride,1386,46,1500,34.1
Pride,1400,120,1500,41.9
Peugeot,1388,103,2000,53.0
Samand,1385,27,1800,59.4
Dena,1388,166,1800,126.7
Peugeot,1389,95,2000,78.7
Samand,1401,67,1800,31.1
Peugeot,1403,76,2000,88.6
Dena,1393,199,1800,117.9
Dena,1385,144,1800,84.3
Samand,1389,42,1800,39.0
Peugeot,1391,70,2000,107.5
Dena,1402,69,1800,116.7
Pride,1386,120,1500,48.9
Dena,1388,19,1800,120.7
Tiba,1401,17,1500,29.5
Peugeot,1391,1,2000,96.6
Peugeot,1393,185,2000,85.5
Samand,1388,26,1800,62.0
Peugeot,1396,74,2000,61.0
Samand,1391,138,1800,60.0
Tiba,1387,181,1500,46.7
Samand,1394,139,1800,56.2
Pride,1402,146,1500,27.5
Samand,1387,80,1800,55.7
Peugeot,1392,12,2000,81.3
Pride,1385,160,1500,28.5
Dena,1394,41,1800,84.6
Peugeot,1397,140,2000,53.8
Dena,1388,77,1800,86.2
Dena,1397,76,1800,82.1
Pride,1401,182,1500,38.6
Pride,1385,109,1500,41.3
Dena,1393,204,1800,152.9
Samand,1401,188,1800,33.9
Peugeot,1390,198,2000,98.2
Pride,1397,73,1500,29.5
Dena,1398,142,1800,80.7
Pride,1387,162,1500,45.8
Peugeot,1395,138,2000,83.5
Tiba,1402,39,1500,29.4
Tiba,1402,181,1500,51.4
Tiba,1403,1,1500,54.0
Tiba,1400,166,1500,49.7
Dena,1391,71,1800,124.4
Dena,1386,10,1800,100.2
Peugeot,1392,89,2000,63.9
Tiba,1402,154,1500,31.1
Dena,1398,200,1800,152.7
Pride,1386,67,1500,48.5
Peugeot,1392,233,2000,57.3
Pride,1388,148,1500,31.0
Peugeot,1392,170,2000,46.1
Dena,1395,36,1800,123.5
Pride,1393,100,1500,38.5
Dena,1390,179,1800,97.9
Dena,1392,21,1800,156.5
Dena,1392,234,1800,144.6
Tiba,1389,243,1500,31.0
Tiba,1400,12,1500,40.4
Peugeot,1397,151,2000,69.5
Pride,1389,13,1500,22.0
Pride,1391,80,1500,47.6
Tiba,1385,104,1500,25.5
Pride,1395,250,1500,22.0
Samand,1402,100,1800,39.9
Dena,1385,178,1800,126.2
Peugeot,1394,65,2000,89.2
Dena,1401,129,1800,137.9
Pride,1392,227,1500,31.9
Tiba,1387,107,1500,31.8
Dena,1393,54,1800,128.3
Samand,1399,215,1800,60.9
Tiba,1389,76,1500,25.1
Tiba,1399,140,1500,36.0
Dena,1391,161,1800,143.4
Pride,1397,228,1500,49.7
Tiba,1400,226,1500,51.0
Samand,1386,70,1800,41.5
Samand,1386,62,1800,35.0
Tiba,1400,157,1500,40.1
Pride,1399,154,1500,30.9
Peugeot,1400,143,2000,74.5
Tiba,1387,159,1500,52.8
Samand,1401,38,1800,31.1
Peugeot,1393,219,2000,79.9
Pride,1390,134,1500,38.4
Dena,1399,207,1800,95.8
Tiba,1401,61,1500,41.4
Tiba,1392,126,1500,28.1
Pride,1385,61,1500,33.8
Dena,1394,64,1800,157.4
Samand,1402,239,1800,56.8
Samand,1403,46,1800,63.3
Samand,1389,232,1800,41.1
Tiba,1386,151,1500,29.9
Pride,1398,166,1500,42.9
Dena,1392,46,1800,90.9
Dena,1403,187,1800,105.1
Dena,1394,210,1800,135.0
Peugeot,1398,130,2000,98.4
Peugeot,1396,159,2000,106.1
Tiba,1401,173,1500,25.9
Pride,1388,204,1500,24.2
Peugeot,1397,58,2000,88.1
Tiba,1400,13,1500,37.2
Tiba,1402,4,1500,42.6
Tiba,1393,126,1500,39.1
Tiba,1392,116,1500,29.9
Peugeot,1403,168,2000,84.6
Tiba,1387,125,1500,55.0
Pride,1395,240,1500,30.6
Peugeot,1402,44,2000,78.6
Pride,1399,122,1500,25.2
Peugeot,1390,109,2000,69.4
Pride,1403,92,1500,47.1
Dena,1392,18,1800,127.0
Samand,1400,130,1800,55.8
Pride,1388,229,1500,31.5
Samand,1402,58,1800,48.4
Pride,1389,137,1500,45.9
Peugeot,1391,114,2000,63.0
Samand,1394,95,1800,40.0
Peugeot,1388,188,2000,64.7
Tiba,1393,222,1500,31.1
Pride,1390,190,1500,36.6
Tiba,1385,155,1500,38.5
Peugeot,1402,39,2000,84.7
Peugeot,1386,160,2000,89.1
Samand,1398,1,1800,31.8
Pride,1399,117,1500,39.0
Samand,1403,232,1800,57.9
Dena,1395,90,1800,100.2
Peugeot,1386,219,2000,58.9
Tiba,1400,9,1500,35.8
Tiba,1387,72,1500,51.1
Dena,1400,196,1800,122.8
Pride,1396,135,1500,36.6
Dena,1394,172,1800,111.8
Samand,1387,15,1800,54.0
Pride,1393,240,1500,31.2
Peugeot,1390,56,2000,73.7
Pride,1392,246,1500,20.0
Peugeot,1394,119,2000,90.4
Dena,1388,248,1800,88.5
Pride,1395,33,1500,22.5
Pride,1390,151,1500,27.3
Tiba,1394,182,1500,28.4
Peugeot,1402,157,2000,49.9
Tiba,1401,244,1500,34.3
Dena,1400,160,1800,100.4
Dena,1386,112,1800,114.4
Samand,1391,92,1800,48.1
Dena,1393,27,1800,97.9
Samand,1398,233,1800,36.1
Samand,1394,88,1800,33.9
Pride,1394,26,1500,34.6
Tiba,1398,226,1500,37.4
Samand,1403,200,1800,58.0
Dena,1401,88,1800,146.3
Samand,1385,194,1800,45.4
Tiba,1403,225,1500,47.0
Samand,1387,105,1800,44.2
Samand,1391,149,1800,61.2
Peugeot,1394,34,2000,52.2
Dena,1399,27,1800,138.1
Samand,1388,196,1800,57.4
Samand,1389,56,1800,35.7
Peugeot,1395,6,2000,99.1
Samand,1400,92,1800,50.3
Peugeot,1397,153,2000,48.3
Dena,1389,162,1800,126.7
Pride,1397,176,1500,49.4
Dena,1399,59,1800,142.6
Tiba,1392,117,1500,39.9
Pride,1402,5,1500,49.6
Peugeot,1387,133,2000,44.8
Dena,1398,95,1800,153.8
Tiba,1385,226,1500,47.3
Pride,1385,182,1500,28.0
Tiba,1399,132,1500,29.1
Samand,1398,162,1800,30.4
Samand,1387,46,1800,61.5
Peugeot,1403,149,2000,102.6
Samand,1390,245,1800,31.3
Samand,1385,61,1800,61.7
Peugeot,1388,61,2000,109.4
Samand,1392,173,1800,40.4
Pride,1386,107,1500,39.0
Tiba,1402,215,1500,54.8
Samand,1399,57,1800,31.3
Peugeot,1390,126,2000,66.6
Peugeot,1401,244,2000,52.5
Tiba,1393,178,1500,31.9
Pride,1389,75,1500,36.9
Peugeot,1389,242,2000,45.0
Dena,1388,135,1800,132.1
Pride,1395,149,1500,25.8
Samand,1401,14,1800,43.8
Samand,1388,33,1800,32.6
Tiba,1386,130,1500,36.3
Samand,1388,158,1800,41.9
Dena,1394,145,1800,145.0
Dena,1402,250,1800,154.0
Peugeot,1403,174,2000,91.7
Samand,1390,49,1800,42.9
Dena,1389,239,1800,118.3
Dena,1395,5,1800,137.1
Pride,1394,183,1500,22.0
Pride,1396,120,1500,40.7
Dena,1390,190,1800,128.4
Peugeot,1396,153,2000,75.1
Pride,1388,234,1500,48.7
Peugeot,1393,166,2000,76.5
Samand,1390,204,1800,31.0
Pride,1394,159,1500,25.6
Tiba,1396,202,1500,39.5
Peugeot,1388,176,2000,89.5
Pride,1399,72,1500,32.1
Samand,1385,123,1800,35.6
Dena,1387,29,1800,122.7
Peugeot,1391,31,2000,73.4
Pride,1400,192,1500,48.0
Samand,1394,237,1800,58.7
Dena,1395,239,1800,130.2
Dena,1398,182,1800,80.7
Samand,1402,37,1800,56.4
Samand,1393,231,1800,38.6
Pride,1390,245,1500,48.8
Pride,1399,44,1500,34.3
Samand,1388,33,1800,63.6
Dena,1398,199,1800,92.4
Tiba,1392,230,1500,25.0
Peugeot,1387,152,2000,91.6
Tiba,1402,154,1500,29.9
Peugeot,1397,220,2000,53.6
Tiba,1401,184,1500,36.5
Peugeot,1394,211,2000,86.2
Pride,1389,87,1500,26.6
Samand,1386,239,1800,53.6
Samand,1397,59,1800,45.8
Tiba,1390,198,1500,54.2
Tiba,1401,39,1500,36.7
Dena,1389,175,1800,96.8
Peugeot,1391,45,2000,54.3
Peugeot,1389,73,2000,57.9
Samand,1386,238,1800,37.7
Pride,1387,105,1500,39.7
Pride,1402,92,1500,29.0
Dena,1399,17,1800,149.1
Peugeot,1395,216,2000,104.3
Pride,1387,23,1500,42.2
Tiba,1392,110,1500,34.5
Tiba,1397,241,1500,50.0
Dena,1397,128,1800,123.1
Pride,1386,40,1500,23.7
Pride,1386,11,1500,38.9
Dena,1389,151,1800,135.2
Samand,1385,73,1800,47.1
Peugeot,1391,175,2000,102.6
Peugeot,1397,131,2000,40.2
Tiba,1388,122,1500,52.0
Dena,1393,230,1800,104.1
Dena,1395,141,1800,94.9
Dena,1392,33,1800,98.6
Peugeot,1396,18,2000,79.2
Pride,1385,188,1500,31.7
Tiba,1390,212,1500,50.9
Dena,1399,157,1800,110.2
Tiba,1389,163,1500,38.3
Tiba,1403,76,1500,48.0
Dena,1397,126,1800,81.1
Dena,1387,72,1800,132.8
Peugeot,1403,155,2000,68.5
Peugeot,1401,69,2000,71.1
Dena,1392,120,1800,105.2
Pride,1399,103,1500,43.8
Tiba,1403,169,1500,39.9
Peugeot,1385,22,2000,73.5
Pride,1392,136,1500,29.5
Samand,1392,197,1800,50.5
Peugeot,1398,79,2000,77.1
Dena,1386,171,1800,98.2
Dena,1400,121,1800,148.3
Pride,1403,155,1500,43.0
Pride,1396,123,1500,26.7
Pride,1396,128,1500,28.9
Tiba,1392,77,1500,50.2
Pride,1386,22,1500,27.8
Tiba,1400,240,1500,32.2
Samand,1393,225,1800,58.7
Dena,1390,206,1800,111.0
Pride,1388,60,1500,21.7
Dena,1386,191,1800,122.2
Tiba,1403,154,1500,53.3
Tiba,1387,178,1500,48.5
Pride,1390,128,1500,41.7
Pride,1393,113,1500,21.3
Peugeot,1386,172,2000,63.2
Samand,1388,168,1800,47.4
Peugeot,1388,14,2000,88.2
Dena,1396,15,1800,141.7
Tiba,1403,108,1500,53.8
Peugeot,1398,231,2000,40.6
Pride,1394,161,1500,28.6
Pride,1389,113,1500,32.3
Peugeot,1398,137,2000,87.2
Pride,1390,135,1500,21.5
Pride,1390,35,1500,31.6
Peugeot,1397,110,2000,55.0
Pride,1386,78,1500,32.8
Dena,1391,171,1800,89.8
Tiba,1402,198,1500,54.1
Peugeot,1399,2,2000,83.7
Tiba,1388,173,1500,30.0
Tiba,1388,182,1500,28.6
Peugeot,1392,32,2000,94.9
Peugeot,1396,208,2000,105.8
Peugeot,1400,236,2000,43.5
Dena,1397,77,1800,124.1
Tiba,1386,109,1500,45.3
Dena,1388,180,1800,125.6
Samand,1399,109,1800,64.5
Samand,1387,48,1800,62.5
Pride,1401,241,1500,48.1
Pride,1398,176,1500,23.9
Tiba,1395,135,1500,39.4
Dena,1388,178,1800,114.5
Pride,1401,160,1500,29.1
Samand,1388,216,1800,44.8
Dena,1388,35,1800,116.8
Tiba,1391,57,1500,50.0
Tiba,1398,239,1500,53.7
Tiba,1390,167,1500,43.0
Samand,1388,166,1800,44.9
Dena,1390,38,1800,155.4
Tiba,1402,16,1500,27.1
Peugeot,1395,206,2000,98.1
Dena,1397,41,1800,132.5
Dena,1392,186,1800,118.0
Tiba,1400,32,1500,54.4
Tiba,1396,5,1500,48.2
Peugeot,1395,180,2000,40.4
Tiba,1387,216,1500,31.7
Samand,1398,172,1800,45.1
Tiba,1402,17,1500,33.5
Tiba,1385,116,1500,39.7
Dena,1392,71,1800,87.6
Pride,1391,176,1500,31.3
Tiba,1390,202,1500,54.5
Samand,1397,35,1800,64.9
Samand,1392,109,1800,50.6
Samand,1391,159,1800,42.2
Samand,1396,202,1800,52.0
Tiba,1395,94,1500,34.1
Samand,1389,100,1800,51.5
Samand,1400,163,1800,45.5
Peugeot,1385,183,2000,102.8
Tiba,1394,202,1500,40.4
Peugeot,1391,168,2000,83.2
Dena,1398,51,1800,135.2
Pride,1397,73,1500,22.8
Pride,1388,120,1500,33.4
Tiba,1397,186,1500,31.1
Tiba,1386,1,1500,29.2
Dena,1397,238,1800,115.3
Peugeot,1398,67,2000,61.7
Pride,1401,103,1500,31.1
Peugeot,1394,63,2000,83.0
Peugeot,1397,67,2000,53.7
Peugeot,1390,168,2000,92.0
Tiba,1397,244,1500,47.7
Pride,1401,31,1500,24.0
Tiba,1390,89,1500,51.8
Tiba,1387,45,1500,35.9
Tiba,1401,220,1500,37.7
Samand,1387,139,1800,53.9
Tiba,1396,200,1500,37.2
Pride,1388,240,1500,41.4
Tiba,1385,9,1500,41.2
Samand,1390,146,1800,58.4
Peugeot,1385,97,2000,58.4
Dena,1388,160,1800,114.0
Dena,1397,83,1800,88.4
Samand,1387,77,1800,57.0
Peugeot,1403,227,2000,64.4
Tiba,1403,139,1500,49.6
Peugeot,1398,118,2000,93.5
Peugeot,1403,197,2000,58.0
Peugeot,1389,225,2000,64.3
Tiba,1391,114,1500,26.6
Dena,1390,111,1800,100.5
Peugeot,1399,120,2000,82.3
Dena,1401,25,1800,97.2
Samand,1396,165,1800,62.7
Dena,1393,233,1800,85.6
Samand,1389,155,1800,63.8
Tiba,1391,84,1500,43.5
Tiba,1389,229,1500,32.3
Samand,1388,201,1800,42.2
Peugeot,1402,81,2000,46.7
Pride,1400,100,1500,31.4
Pride,1386,158,1500,49.8
Tiba,1390,80,1500,33.8
Pride,1387,26,1500,43.7
Dena,1392,105,1800,126.0
Pride,1394,193,1500,46.2
Samand,1393,137,1800,57.8
Peugeot,1394,64,2000,92.1
